,Q2b,Q2c,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Female,Age,Work_exp
448,1,3.0,4,4,4,5,4,4,2,5,5,3,4,4,3,2,4,3,3,2,4,3,3,4,0,34,3.0
450,1,3.0,3,5,4,5,3,3,4,2,3,4,5,2,5,1,3,4,1,4,2,5,5,4,0,34,3.0
454,1,6.0,3,4,4,5,5,5,4,2,3,5,5,2,3,3,3,4,4,3,4,4,3,4,0,35,3.0
456,1,2.0,5,5,5,5,4,5,5,4,3,5,5,4,5,3,4,3,4,3,4,5,5,5,1,33,4.0
458,2,3.0,1,4,4,4,3,1,1,4,4,3,5,2,4,1,4,2,1,1,3,4,5,3,0,39,3.0
460,1,4.0,3,5,4,4,3,4,3,2,3,5,5,1,5,1,2,1,3,2,4,4,4,3,0,29,2.0
462,1,2.0,4,5,5,5,4,5,4,3,3,5,4,2,5,1,2,2,1,1,4,5,4,5,1,35,4.0
464,1,3.0,3,5,4,5,4,3,4,3,4,4,4,2,5,3,3,3,1,1,4,4,4,5,0,34,3.0
468,1,2.0,5,5,5,5,5,5,5,5,2,5,5,1,5,1,1,1,1,1,5,5,1,5,1,44,7.0
470,2,1.0,3,5,5,5,4,2,3,2,4,4,5,4,5,1,2,2,1,1,4,5,3,3,0,34,4.0
472,2,3.0,3,4,4,4,3,3,1,2,4,3,4,3,4,1,1,4,1,1,2,4,4,2,0,41,6.0
476,2,1.0,3,5,5,5,3,4,4,4,3,4,4,3,5,1,3,4,3,1,3,5,4,5,0,34,4.0
478,1,3.0,5,5,5,5,4,5,5,4,4,5,5,1,5,1,5,1,1,1,1,5,5,5,0,34,3.0
480,1,2.0,4,5,5,5,5,5,4,5,4,5,5,5,5,2,5,5,1,2,2,5,5,5,0,40,6.0
482,2,2.0,3,4,4,4,4,5,4,2,2,4,5,1,5,1,3,1,1,1,2,4,4,4,0,36,4.0
484,1,1.0,5,5,5,4,5,5,5,2,2,5,5,2,5,1,5,1,1,1,1,4,4,4,0,35,5.0
488,2,1.0,3,5,4,5,4,5,4,2,1,5,5,5,5,1,5,1,1,5,4,4,5,3,1,41,6.0
490,2,4.0,1,5,5,4,4,2,1,3,3,4,4,2,5,1,5,1,1,1,4,5,1,3,0,39,5.0
494,1,2.0,2,5,4,4,4,3,2,3,2,5,5,4,4,3,3,4,3,1,3,4,4,4,0,43,6.0
496,2,5.0,3,4,5,5,4,4,3,5,4,2,5,4,4,3,3,3,3,3,1,5,5,3,0,37,6.0
498,1,2.0,4,5,5,5,5,4,3,4,2,5,5,4,5,1,4,4,1,1,4,5,4,4,0,48,7.0
502,2,2.0,2,4,4,4,3,2,2,4,5,3,5,3,4,3,5,4,2,2,3,4,5,4,0,33,4.0
504,2,2.0,4,5,4,4,1,1,1,4,3,5,5,1,5,1,3,2,1,1,3,1,5,1,0,39,6.0
506,1,6.0,3,4,4,3,4,3,3,3,3,4,5,3,4,1,4,2,1,4,4,3,4,3,0,32,3.0
508,1,2.0,2,5,4,4,4,4,3,3,2,3,4,2,5,1,1,2,1,1,4,4,4,5,1,33,4.0
510,2,2.0,4,5,5,5,3,3,5,3,5,4,5,5,5,1,4,4,1,1,1,5,5,4,0,34,4.0
512,1,6.0,2,5,4,4,2,4,4,3,4,3,5,2,4,1,4,2,3,4,2,5,5,5,0,35,3.0
514,1,3.0,3,4,4,4,3,4,4,4,5,3,5,1,4,3,5,2,2,2,3,3,5,5,0,34,4.0
516,2,5.0,3,4,4,4,3,4,3,3,4,4,5,2,4,1,1,1,3,1,3,2,4,4,0,40,5.0
520,2,2.0,3,5,4,5,4,4,4,4,2,5,5,3,5,1,4,3,1,1,5,4,5,5,0,35,4.0
522,2,2.0,1,5,3,4,3,1,1,2,4,5,5,1,4,1,1,1,1,1,4,1,5,4,0,37,5.0
526,2,1.0,4,5,5,5,4,5,3,5,3,5,5,5,5,1,1,1,1,1,5,5,5,3,0,36,5.0
530,2,2.0,1,5,5,5,5,2,4,4,4,4,5,3,5,1,4,3,1,1,5,4,4,5,0,34,4.0
532,1,2.0,3,5,3,4,5,1,1,3,2,3,5,1,5,1,4,4,1,1,5,4,4,4,0,39,6.0
534,1,3.0,3,5,4,5,4,3,4,1,3,2,5,3,5,1,4,2,1,1,3,4,5,5,0,34,4.0
536,1,3.0,1,4,5,5,1,1,1,5,3,1,4,5,5,1,5,2,1,1,3,5,4,4,0,42,7.0
538,1,1.0,5,4,5,4,4,4,5,3,4,5,5,1,5,1,2,2,1,1,3,5,1,5,0,31,4.0
540,1,3.0,3,5,5,4,5,3,5,2,2,4,5,1,5,1,4,2,1,1,2,4,4,5,1,37,5.0
542,1,2.0,5,5,4,4,5,4,5,3,5,5,5,3,5,1,1,1,1,1,5,3,5,5,1,31,2.0
544,2,3.0,3,5,3,5,3,5,3,3,3,4,4,1,5,1,1,1,1,1,1,2,3,1,0,41,6.0
546,2,2.0,1,3,4,4,2,1,1,4,3,2,4,1,3,1,4,5,1,1,1,2,3,4,1,34,4.0
550,2,2.0,2,5,4,3,3,4,2,4,1,3,5,2,5,1,2,4,1,1,4,2,4,1,0,39,6.0
554,2,2.0,4,4,3,4,4,2,2,3,2,4,3,4,4,1,1,1,1,1,4,4,1,4,0,42,6.0
556,2,2.0,2,5,4,5,2,4,4,1,2,1,3,1,5,1,5,5,1,1,4,5,2,3,0,39,6.0
558,1,3.0,4,5,4,4,4,5,4,4,4,4,4,4,5,2,3,2,3,3,4,3,4,4,0,33,3.0
560,1,4.0,3,4,4,5,4,3,2,4,4,4,4,3,5,1,1,1,1,1,4,4,3,3,0,35,4.0
564,2,5.0,5,5,5,5,4,4,5,5,4,4,5,5,5,1,3,1,1,1,3,5,5,4,0,34,4.0
568,2,1.0,2,5,4,3,5,4,4,4,2,3,4,4,4,2,2,2,2,2,5,4,4,4,0,36,4.0
570,2,2.0,2,5,5,5,5,4,3,1,2,3,5,1,5,1,2,1,1,1,5,4,5,5,0,31,3.0
572,1,3.0,2,5,5,5,2,3,3,3,3,4,4,2,5,1,1,1,1,1,4,5,4,3,0,33,4.0
574,1,2.0,4,4,4,3,4,4,4,2,2,5,4,3,5,3,4,3,3,3,5,3,4,4,1,31,3.0
578,2,1.0,5,4,4,5,4,4,4,2,3,4,4,4,4,2,3,4,2,1,4,5,4,2,0,37,6.0
580,2,1.0,3,4,3,4,3,3,3,4,3,4,4,3,4,3,3,4,3,3,3,5,3,3,0,36,5.0
582,1,1.0,1,4,2,3,4,2,4,4,1,1,5,1,4,1,1,1,1,1,5,1,1,5,1,38,4.0
584,2,2.0,3,5,4,5,3,5,5,5,2,4,5,2,5,1,5,1,1,1,1,4,5,5,0,37,5.0
586,1,2.0,5,5,5,5,4,4,4,4,4,3,5,2,5,1,4,4,1,1,5,5,5,5,0,36,4.0
588,2,2.0,2,5,5,5,4,4,2,2,5,4,5,1,5,1,4,2,1,1,5,4,4,5,1,35,4.0
590,1,1.0,2,5,4,4,3,4,3,3,4,3,3,5,4,1,3,4,2,1,4,2,3,4,1,36,2.0
592,2,1.0,1,4,3,1,4,1,2,4,4,3,1,2,4,1,3,5,1,1,5,5,3,5,1,39,6.0
594,2,1.0,3,5,4,4,4,4,3,3,3,3,4,2,5,1,2,2,1,1,4,4,4,4,0,35,5.0
596,1,5.0,1,5,2,2,4,1,1,2,4,4,4,4,5,1,1,1,1,1,4,2,5,1,0,39,6.0
598,1,1.0,3,5,4,4,4,3,5,4,4,5,5,3,5,3,3,3,2,3,5,5,5,5,0,40,6.0
600,2,1.0,3,5,4,5,3,5,5,3,4,3,4,1,4,1,1,2,1,1,4,3,4,4,0,35,4.0
602,1,4.0,2,5,5,4,4,2,2,4,4,3,4,1,5,1,1,3,1,1,5,4,4,2,0,35,4.0
606,2,4.0,4,5,5,5,5,5,5,4,4,4,4,1,5,1,1,1,1,1,3,4,4,5,1,31,2.0
610,1,2.0,3,5,4,5,4,4,4,3,2,3,5,2,5,1,2,4,2,4,3,4,5,4,1,33,2.0
612,1,2.0,2,5,4,5,4,2,3,5,4,5,5,2,4,1,1,1,1,1,5,2,3,5,0,43,6.0
614,2,3.0,3,5,4,4,3,3,4,3,3,4,4,2,5,1,4,4,1,1,3,4,4,4,0,41,6.0
616,2,1.0,3,3,3,4,3,3,2,5,3,2,5,5,3,2,4,1,1,1,3,3,3,2,0,39,6.0
618,2,2.0,1,5,4,5,5,4,2,5,2,4,4,3,5,2,3,2,1,3,3,4,4,3,0,39,6.0
620,1,4.0,4,5,4,4,3,4,4,4,1,4,3,1,4,1,1,3,1,1,1,4,4,4,0,40,5.0
622,1,3.0,3,5,3,5,4,5,5,3,4,5,5,1,5,1,4,2,1,1,2,5,5,2,0,34,4.0
624,1,5.0,1,5,4,4,3,1,1,2,3,3,4,1,5,1,3,4,1,1,2,4,4,3,1,32,3.0
626,1,6.0,5,4,5,5,3,4,4,1,4,5,5,4,5,1,4,1,1,1,3,4,3,4,1,38,6.0
628,1,3.0,3,5,4,4,3,3,4,3,5,4,4,2,4,1,4,4,1,1,3,4,3,4,0,34,4.0
630,1,2.0,3,4,3,3,3,4,4,3,3,3,5,3,4,4,2,2,3,3,3,5,3,3,0,41,7.0
632,1,2.0,3,5,4,5,5,4,5,3,1,4,5,1,5,1,1,1,1,1,4,1,4,5,0,32,2.0
634,2,2.0,1,5,4,4,3,1,3,4,5,3,5,1,5,1,1,1,1,1,1,3,5,3,1,39,5.0
638,1,6.0,4,4,4,4,4,3,4,4,4,4,4,2,4,1,1,1,1,1,3,3,3,4,0,35,4.0
640,1,1.0,5,5,5,5,5,5,5,3,3,4,5,3,4,1,4,2,1,2,5,4,4,4,0,37,3.0
642,2,2.0,3,5,4,3,4,3,4,2,2,5,5,1,5,1,1,3,1,1,4,4,3,4,0,34,4.0
644,2,3.0,4,5,5,5,1,4,4,4,4,3,3,3,5,1,1,5,1,1,1,5,1,4,0,43,7.0
646,2,1.0,1,5,5,5,3,4,4,4,4,4,5,1,5,1,4,4,1,1,3,5,4,4,0,34,3.0
648,1,6.0,4,4,5,5,3,1,3,1,3,4,3,3,4,1,2,5,2,2,3,5,1,3,0,30,1.0
650,2,1.0,1,5,4,3,2,1,1,4,4,4,4,5,5,1,1,1,1,1,3,4,3,1,0,39,6.0
652,2,1.0,4,5,5,5,4,4,3,2,4,4,4,3,5,1,1,2,1,1,3,4,3,4,0,35,4.0
654,2,2.0,2,5,5,5,3,5,5,4,3,5,3,4,5,1,3,1,1,1,1,5,2,5,0,36,6.0
656,2,2.0,2,5,5,5,4,2,1,2,2,4,5,1,5,1,1,1,1,1,4,1,4,1,1,34,4.0
658,2,2.0,2,4,4,4,3,3,3,4,2,4,5,5,1,1,4,1,1,1,1,3,5,1,1,33,4.0
660,2,2.0,1,5,5,5,4,2,2,3,3,4,5,3,5,1,5,5,1,1,4,5,5,4,1,39,6.0
664,2,2.0,2,5,5,5,5,2,2,5,4,5,5,2,5,1,1,2,1,1,4,4,4,4,1,34,3.0
666,1,2.0,1,4,4,4,5,2,1,3,2,3,4,2,4,1,1,1,1,1,4,4,4,3,0,40,6.0
668,1,2.0,3,5,5,5,4,4,5,5,5,4,4,4,5,2,5,3,5,5,5,5,2,5,1,33,3.0
670,1,3.0,4,5,5,5,3,5,3,1,3,5,5,3,5,1,1,3,1,1,3,4,4,1,0,42,6.0
672,1,2.0,4,5,4,5,4,4,4,4,3,5,5,2,5,1,1,1,1,1,1,5,5,5,0,34,4.0
674,2,2.0,2,5,5,5,4,5,4,3,2,4,5,1,5,1,5,5,1,4,1,5,5,5,0,33,4.0
676,1,2.0,3,5,3,5,5,5,5,4,1,4,5,4,4,1,1,1,1,1,5,1,5,4,0,31,1.0
678,2,2.0,3,5,5,4,3,3,5,1,1,5,5,1,5,1,4,4,1,1,5,5,5,5,0,46,7.0
682,1,6.0,4,5,4,4,4,5,3,2,2,4,4,3,5,1,2,1,2,1,3,4,3,4,0,32,2.0
684,1,1.0,4,5,5,5,5,5,5,4,4,5,5,4,5,1,4,5,1,2,2,5,3,5,0,34,4.0
686,2,2.0,3,5,5,5,5,3,2,1,2,5,5,4,5,1,1,4,1,1,5,4,3,3,0,42,7.0
688,1,2.0,3,5,4,3,4,5,4,1,1,4,3,2,4,1,1,2,1,1,5,3,3,4,0,33,3.0
690,1,2.0,4,4,5,5,3,2,5,3,4,5,3,1,4,1,3,1,1,1,3,2,4,4,0,33,3.0
692,1,5.0,5,4,5,5,4,5,3,3,2,5,4,3,5,1,1,2,1,1,4,5,3,3,0,31,2.0
696,2,2.0,2,5,2,4,1,2,2,2,3,3,3,1,5,1,3,4,1,1,3,4,1,1,0,36,4.0
698,1,3.0,3,5,4,5,3,3,2,4,2,5,5,2,5,1,1,1,1,1,4,4,4,2,0,36,5.0
700,1,2.0,4,5,5,5,5,4,5,3,3,4,4,1,5,1,1,1,1,2,4,5,3,5,0,35,4.0
702,1,3.0,2,5,5,5,4,2,4,3,2,5,5,2,5,1,4,2,1,1,5,5,5,5,0,39,6.0
704,1,5.0,2,4,4,4,3,4,4,3,4,5,5,2,4,1,2,2,4,3,2,4,4,5,0,32,2.0
706,1,3.0,1,5,5,5,1,1,1,4,4,5,4,1,5,1,4,1,1,1,4,4,4,5,1,39,6.0
708,2,1.0,5,5,5,5,4,3,5,1,5,5,5,3,5,1,1,3,1,1,1,3,5,5,0,39,6.0
710,1,2.0,3,5,4,5,3,3,3,4,5,5,5,1,5,1,5,5,3,3,1,4,5,3,0,38,6.0
712,1,6.0,4,2,5,5,5,2,4,3,4,5,3,1,2,1,1,1,1,1,4,5,3,4,0,30,1.0
716,2,2.0,4,5,5,5,4,4,2,1,3,5,4,2,5,1,4,1,1,1,3,4,4,2,0,36,4.0
718,1,6.0,3,4,4,4,5,5,3,5,4,4,4,2,5,1,4,4,1,2,4,4,4,4,0,31,2.0
720,1,4.0,4,4,5,4,4,4,3,4,2,2,5,3,5,1,5,5,1,3,5,5,5,4,0,33,3.0
722,1,3.0,5,5,5,5,4,4,3,4,2,3,5,2,5,1,2,4,1,4,2,5,5,5,0,35,4.0
724,1,2.0,2,5,5,5,4,4,4,1,2,5,4,1,5,1,2,2,1,1,2,5,2,4,0,46,7.0
726,1,2.0,1,5,1,4,1,1,1,5,5,5,3,1,4,1,5,3,2,1,1,1,2,4,0,40,6.0
728,1,2.0,5,5,5,5,1,2,1,1,4,5,5,1,5,1,4,5,1,4,3,5,5,3,0,36,5.0
730,2,2.0,4,5,5,5,4,4,5,4,4,4,4,3,5,3,3,2,1,1,2,5,4,5,0,41,6.0
732,2,1.0,2,5,5,5,4,5,1,4,5,5,5,2,5,1,4,4,1,1,1,5,4,2,0,37,5.0
736,1,2.0,1,4,2,5,3,4,1,2,4,1,4,4,4,1,1,2,1,3,3,3,4,1,0,40,6.0
742,2,2.0,2,4,4,4,2,3,2,4,4,4,4,3,4,1,5,2,1,1,2,4,4,4,0,38,5.0
748,2,1.0,2,4,4,3,4,2,2,4,4,3,3,5,4,1,4,2,1,2,2,4,2,3,1,33,4.0
750,2,1.0,3,5,4,4,2,4,2,4,3,5,5,3,5,1,4,4,1,2,2,4,5,5,0,32,3.0
752,2,1.0,4,5,5,5,4,4,4,3,2,5,5,3,5,1,4,3,1,2,4,4,4,3,0,41,7.0
754,2,2.0,2,5,5,5,4,2,2,2,3,4,5,4,5,1,4,4,1,1,4,5,4,5,1,33,4.0
756,2,2.0,4,5,4,5,5,4,4,1,1,4,5,3,4,1,1,1,1,1,5,4,4,5,1,28,1.0
760,1,1.0,1,5,5,5,1,1,1,1,5,2,5,1,5,4,1,5,1,1,1,5,1,1,0,36,5.0
762,1,6.0,4,5,5,5,4,3,5,2,4,5,5,1,5,1,4,5,1,1,4,5,5,5,0,31,2.0
764,2,2.0,3,4,5,4,4,4,4,2,3,4,4,2,4,3,4,3,3,4,3,4,4,4,1,35,4.0
768,2,2.0,2,5,5,5,4,5,3,3,3,4,5,2,5,1,4,4,1,1,4,5,4,5,0,39,5.0
770,1,2.0,2,5,4,5,4,5,2,2,2,5,4,5,5,2,2,2,2,2,2,5,4,4,0,40,6.0
772,1,5.0,4,5,5,4,4,5,5,3,1,4,5,4,5,1,1,3,1,1,5,4,4,5,0,30,1.0
776,1,4.0,3,5,5,5,4,4,4,4,2,4,5,3,4,1,2,4,2,3,5,4,4,4,0,31,3.0
778,1,4.0,5,5,2,4,3,1,2,5,4,4,4,1,4,1,5,4,1,1,2,3,5,5,0,33,3.0
780,1,6.0,2,2,4,2,1,2,2,4,2,4,4,1,4,1,4,4,1,1,1,2,3,2,0,49,7.0
786,2,2.0,4,4,5,5,4,5,2,3,3,4,3,2,5,1,3,1,1,1,3,4,3,3,0,36,5.0
788,2,2.0,4,5,5,5,3,4,4,2,3,5,5,1,5,1,3,2,1,1,1,5,5,4,1,34,4.0
790,1,3.0,5,5,5,5,5,4,5,4,3,5,5,2,5,1,2,1,1,1,5,4,4,5,1,32,3.0
792,1,2.0,2,4,5,5,4,5,2,2,4,4,4,3,4,1,2,2,1,1,5,5,3,5,0,35,4.0
794,1,6.0,4,5,5,5,3,1,3,4,4,4,5,5,5,3,3,1,3,3,3,5,4,4,0,34,2.0
796,1,4.0,2,5,4,5,4,3,5,4,3,4,5,2,5,1,1,1,1,1,5,4,5,4,1,38,5.0
798,1,2.0,3,5,4,4,4,3,4,3,3,3,5,3,4,1,3,2,1,1,3,3,5,5,0,35,4.0
800,1,1.0,4,4,3,4,2,5,5,4,2,4,5,1,5,1,4,2,1,1,3,4,5,5,0,33,3.0
802,1,4.0,5,5,5,5,5,5,5,1,3,5,5,4,5,1,5,1,1,1,5,5,2,5,0,35,4.0
804,1,3.0,2,4,2,3,4,4,4,4,3,3,4,1,4,4,4,3,1,1,1,1,1,4,1,37,5.0
806,1,2.0,5,5,5,5,4,5,5,1,5,5,5,3,5,1,3,3,1,1,3,5,5,5,0,35,4.0
808,1,1.0,4,5,5,5,4,4,4,2,1,4,5,2,5,1,1,1,1,1,4,5,4,4,1,39,5.0
810,2,6.0,1,5,3,5,3,5,5,1,1,5,5,3,5,1,4,1,1,1,3,3,5,5,0,44,6.0
812,1,5.0,5,2,5,4,2,4,3,4,5,4,5,1,3,1,3,5,3,3,2,5,4,4,0,33,2.0
822,2,2.0,4,5,5,4,5,4,4,3,3,5,5,1,5,1,2,1,1,5,5,4,5,4,0,34,4.0
824,1,3.0,2,5,4,4,4,5,4,3,1,5,5,5,4,1,1,1,1,1,4,2,2,4,1,31,3.0
826,2,2.0,2,5,5,5,2,2,2,4,4,3,4,5,5,3,3,5,3,3,3,5,3,3,0,34,3.0
828,1,4.0,4,5,4,4,3,2,2,2,3,4,5,1,5,1,2,2,1,1,1,4,5,3,0,47,5.0
830,1,6.0,2,5,5,5,3,4,2,1,4,5,5,1,5,1,1,4,1,2,2,5,5,5,0,29,1.0
832,1,1.0,3,5,4,4,3,5,4,2,3,4,5,5,5,1,1,3,1,1,2,4,4,4,0,42,6.0
834,2,2.0,3,5,5,4,2,3,2,3,4,4,5,2,5,4,2,4,1,1,2,4,4,2,1,35,4.0
836,1,2.0,1,5,5,5,4,2,2,4,4,2,5,3,5,1,4,5,1,1,3,5,4,2,0,39,5.0
838,1,2.0,2,5,4,5,3,3,4,3,3,5,5,1,5,1,2,1,1,2,4,3,4,4,1,31,3.0
840,1,3.0,3,5,5,5,4,4,4,3,5,4,5,4,5,1,2,1,1,1,4,4,5,4,0,39,6.0
842,2,2.0,3,5,5,5,4,4,2,1,1,3,4,3,5,1,1,2,1,1,5,4,4,4,0,33,3.0
846,1,2.0,5,5,5,5,5,5,5,5,4,4,5,4,5,1,1,1,1,1,5,5,2,5,1,32,4.0
848,2,2.0,4,5,4,4,4,4,5,2,3,4,5,1,5,1,1,2,1,1,5,3,4,4,0,33,4.0
850,2,6.0,3,4,4,4,2,4,5,5,4,3,5,3,5,3,3,3,3,1,3,3,3,5,0,30,1.0
852,1,1.0,4,5,4,5,4,5,5,1,2,4,5,1,5,1,4,1,1,2,5,4,4,5,1,36,4.0
854,1,5.0,3,5,4,4,3,4,4,4,3,5,5,2,4,1,3,2,3,2,3,4,5,5,1,30,2.0
856,1,2.0,3,5,5,5,5,3,3,5,1,4,4,1,5,1,2,5,1,1,4,4,4,3,0,37,4.0
858,1,5.0,5,5,5,5,5,5,5,4,4,5,5,4,5,3,5,5,3,3,5,5,5,5,0,33,4.0
860,1,3.0,3,5,4,5,4,4,2,2,1,4,5,1,5,1,4,2,1,1,4,3,4,4,0,35,4.0
862,1,5.0,4,5,5,5,5,4,4,5,5,5,5,1,5,1,5,3,1,2,3,4,5,4,0,31,2.0
864,2,2.0,4,5,5,5,4,5,5,3,4,5,4,2,5,1,2,2,2,4,4,5,4,5,0,37,5.0
866,2,2.0,4,5,4,4,4,3,4,2,3,4,4,3,4,2,4,2,2,2,4,4,4,4,0,35,5.0
868,2,2.0,1,5,5,4,1,1,1,5,5,1,4,5,4,1,5,5,1,1,1,4,4,1,0,35,4.0
872,2,1.0,1,5,4,5,4,3,1,4,3,4,4,5,4,1,1,1,1,1,5,4,2,2,0,40,7.0
874,1,3.0,5,5,5,5,5,5,5,1,1,5,5,5,5,1,5,1,1,1,4,5,4,5,0,37,6.0
876,1,3.0,3,5,4,5,5,4,4,3,1,5,5,5,5,1,1,3,1,1,4,4,5,5,0,48,7.0
878,1,2.0,5,4,5,5,3,5,3,4,3,4,5,3,5,1,5,3,1,1,5,4,4,3,0,39,6.0
882,1,2.0,3,5,5,5,5,4,3,5,1,4,2,4,5,1,1,1,1,1,5,5,1,5,0,32,3.0
884,2,3.0,4,5,5,5,3,4,4,4,4,5,5,2,5,1,2,4,1,1,4,3,4,5,0,43,7.0
886,2,2.0,4,4,5,3,1,1,4,4,3,5,5,2,5,1,3,4,1,1,1,5,1,5,1,36,4.0
888,1,2.0,5,5,5,5,5,4,4,4,2,5,4,5,5,1,1,1,1,1,2,2,5,2,0,35,4.0
890,1,3.0,4,5,5,5,3,4,5,1,4,5,4,3,5,1,1,1,1,1,2,4,4,5,0,45,7.0
892,1,4.0,4,5,4,5,3,5,5,1,3,4,5,1,4,2,1,4,3,4,3,5,5,5,0,35,4.0
894,1,2.0,4,4,4,4,4,3,4,1,3,4,4,1,4,1,1,2,1,2,2,3,2,4,1,32,1.0
896,2,2.0,2,5,4,4,4,3,4,4,2,3,4,1,5,1,3,4,1,1,2,4,4,4,1,33,3.0
898,1,2.0,3,5,4,4,4,5,4,3,1,4,4,1,5,1,1,1,2,3,1,4,5,4,1,32,3.0
900,2,1.0,4,5,5,5,4,5,4,1,4,5,3,4,5,1,2,1,1,2,1,2,3,4,0,49,7.0
904,2,2.0,3,5,4,4,5,2,5,3,5,4,4,3,4,1,2,4,1,3,2,4,4,4,0,33,3.0
906,1,2.0,4,5,4,5,4,4,5,1,2,3,5,1,5,1,4,1,1,1,4,4,5,5,0,35,4.0
908,1,4.0,1,5,4,4,3,2,2,2,2,4,5,1,4,1,1,1,1,1,1,3,4,4,0,44,6.0
910,1,3.0,2,4,4,4,2,1,2,4,1,3,4,5,4,1,2,3,1,3,1,4,4,4,0,27,
912,2,1.0,2,5,3,3,4,4,2,3,3,5,5,5,5,1,1,3,1,1,3,2,5,3,1,27,
914,1,3.0,1,4,5,5,4,1,1,4,3,3,4,1,4,1,2,3,1,2,3,4,4,5,0,24,
916,1,1.0,2,4,4,4,2,4,5,4,4,2,4,4,4,1,4,4,1,1,1,4,4,5,1,22,
